Summary,Detection,Conclusion,Actionable,Time,cause_of_incident,severity_level,major_impact,
"Conftool data, stored in etcd, is normally replicated from one data center to the other (currently eqiad to codfw) using an in-house tool called etcd-mirror. Etcd-mirror is intentionally fairly brittle to replication problems; when it encounters an unexpected situation, it stops replicating and pages us, rather than attempt to self-recover and risk corrupting the etcd state.Due to an unusual sequence of data changes (detailed below) etcd-mirror's long-running watch lost track of the up-to-date state of etcd in eqiad, and replication stopped. This had no immediate user impact, but subsequent conftool changes (like pooling/depooling hosts in load-balanced clusters, pooling/depooling data centers in service discovery, or requestctl changes) would not have been propagated between data centers, leaving us without emergency tools and potentially causing a dangerous skew in production config.","We were paged when etcd-mirror failed. (A prior incident was exacerbated after the paging was accidentally dropped in the migration to alertmanager; that was fixed in T317402 as a followup. It was only a moderate factor in that incident, because SREs independently noticed errors in the etcd-dependent tools they were using. By contrast, if the alert hadn't paged us here, it's likely nobody would have noticed the problem for much longer.)In addition to that EtcdReplicationDown alert, we also got a non-paging SystemdUnitFailed alert, which is redundant but not harmfully so (and might be a useful extra pointer for responders not familiar with etcd-mirror).We also got five separate non-paging JobUnavailable alerts for etcd-mirror, at 1:48, 2:38, 2:38, 2:43, and 2:53, the last one being after etcd-mirror had resumed. These didn't contribute any extra information.",,"Long-term solution: Switch conftool from etcd v2 to v3. As part of this effort, etcd-mirror will be replaced with an alternative solution for cross-site replication, a requirement for which is resilience to this class of problem. (T350565)
* In the meantime, consider building the recovery described at https://etcd.io/docs/v2.3/api/#watch-from-cleared-event-index into etcd-mirror, so that it can detect and handle this situation automatically. It may or may not be worth the engineering effort, depending on the timeline for moving to v3, but now that there's much more traffic to etcd keys outside of /conftool (notably because of Spicerack locking) this situation is more likely than it used to be, so we may want to be resilient to it even in the short term. Alternatively, we could replicate the entire keyspace and not just /conftool, if etcd-mirror can sustain the load. (T358636)
* Update Etcd/Main cluster#Replication documentation with safe restart conditions and information. Populate the ""TODO"" playbook link for EtcdReplicationDown in the process. (T317537)==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	no 	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	no 	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	no 	There were only two responders and no user impact, so we didn't bother with a doc.
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	no 	No user impact, so a status page entry wasn't appropriate.
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	
Process                                       	Are the documented action items assigned?                                                                         	no 	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	no 	T317537
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	7",2024-02-28,Data Management and Retention,mid,Degraded System Performance,
"A MediaWiki configuration change making EventBus use TLS for eventgate-analytics was merged. POST requests from MediaWiki application servers to eventgate-analytics started timing out. This resulted in HTTP server errors being served to users in all data centers. The very high rate of application server requests timing out caused troubles elsewhere in the stack, with 50% of the Varnish frontend caches in esams crashing due to memory allocation failures. Exacerbating the problems, although the Varnish frontend processes were automatically restarted, ATS-tls kept seeing them as down.","The SRE team was first notified about the issue by various Icinga PHP7 rendering alerts on IRC, shortly followed by multiple pages regarding api.svc.eqiad.wmnet socket timeouts, as well as ATS TLS and Varnish reduced availability.",,"Make scap skip restarting php-fpm when using --force https://phabricator.wikimedia.org/T243009
*  Scap should be able to wait longer on the canaries https://phabricator.wikimedia.org/T217924
*  varnish-fe should not crash trying to allocate memory https://phabricator.wikimedia.org/T242417
*  varnish parent should be able to send signals to its child https://phabricator.wikimedia.org/T242411
*  Raise severity of varnish child restart to critical: https://gerrit.wikimedia.org/r/#/c/operations/puppet/+/563174/
*  ats-tls should immediately mark varnish as up after the latter restarts https://phabricator.wikimedia.org/T242620
*  Per-cgroup CPU graphs would allow to quickly find out misbehaving processes: https://phabricator.wikimedia.org/T183146",2020-01-08,Configuration and Deployment Errors,high,Service Downtime,
"All users of dawiktionary, dawiki, and svwiktionary sometimes received fatal exceptions while browsing.  Logs indicated MediaWiki was encountering a data  issue which also entered the object cache.  The source of the problem was traced back to a data migration implementation bug in how bash interprets double-quotes ("") characters.",The issue was noticed by a volunteer and reported after business hours via IRC.  Another volunteer saw the IRC message and escalated to SRE via Klaxon.,,"TODO==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	no 	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	yes	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	no 	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	no 	Not Used
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	no 	
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	no 	Klaxon
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2023-06-06,Code and Application Bugs,mid,Degraded System Performance,
"Something happened between 2024-04-27 00:00 and 2024-04-27 00:08 UTC, and the rsync clients of most puppetmasters/puppetservers to sync data from puppetmaster1001 hung indefinitely.  On 2024-06-10, they were killed and restarted manually.This means that new data from puppet 'volatile' was only rarely/intermittently synced to much of the fleet during this window.The problem was particularly bad in codfw, where all 3 puppetservers had failed to rsync data for the entire duration.Getting a firm idea of the impact of this is difficult.  The new GeoLite2 files were unavailable, but also not in use in production yet(?).  The older 'enterprise' file was still being used for many uses, however, and would have grown stale.  Analytics (a heavy user of GeoIP data) was probably not very affected because it is eqiad-only.  Any CheckUser calls would have likely been affected by stale data.  On the other hand, aside from the one service wishing to use newly-added files ... no one noticed?  So this puts a sort of upper bound on the potential impact, however unsatisfying.","Manual. Kosta Harlan asked on #wikimedia-sre-foundations IRC to confirm that the new GeoLite2 files were available, as part of work on https://phabricator.wikimedia.org/T366272.  cdanis began investigating and discovered that the files were missing on most hosts in codfw where they were expected to exist: https://phabricator.wikimedia.org/P64540",,"Add a generous default TimeoutStartSec in systemd::timer::job.  It cannot be infinite.
* Enable monitoring and logging for the systemd::timer::jobs defined in modules/puppetmaster/manifests/rsync.pp
* Ensure that timer failures for sync-puppet-volatile get reported somewhere (#-sre-foundations IRC?)
*Create a list of action items that will help prevent this from happening again as much as possible. Link to or create a Phabricator task for every step.Add the #Sustainability (Incident Followup) and the #SRE-OnFire Phabricator tag to these tasks.==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              		
People                                        	Were the people who responded prepared enough to respond effectively                                              		
People                                        	Were fewer than five people paged?                                                                                		
People                                        	Were pages routed to the correct sub-team(s)?                                                                     		
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.		
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        		
Process                                       	Was a public wikimediastatus.net entry created?                                                                   		
Process                                       	Is there a phabricator task for the incident?                                                                     		
Process                                       	Are the documented action items assigned?                                                                         		
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               		
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.		
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         		
Tooling                                       	Did existing monitoring notify the initial responders?                                                            		
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    		
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   		
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2024-06-10,Server and Infrastructure Failures,mid,Degraded System Performance,
"Sometime after 22:00 UTC, a traffic surge started to fill up the capacity of a network port in the Ulsfo cluster. By 23:00 UTC the issue was mitigated.Impact: For up to an hour, a portion of requests may have received a slower response from regions served by the San Francisco DC. This includes New Zealand, and parts of North America.Documentation:*Wikimedia DNS: DC geo map",,,None.,2021-06-30,Performance and Load Issues,low,Degraded System Performance,
"A subset of redundant Cassandra hosts underwent a scheduled administrative shutdown to conduct power maintenance in Codfw. During the planned outage, other Cassandra hosts were running out of disk space due to accomulating log files that Cassandra uses to repair clusters after downtime. The issue was resolved by bringing the remaining Cassandra nodes back online, ahead of schedule.",,,"T315517 Create (and document) a process for disabling hinted-handoff during maintenance events
*T315517 Create (and document) a process for truncating hinted-handoff 
*T315517 Ensure that future clusters have a dedicated storage volume for hinted-handoff
*T315517 Establish (and document) best practice for sizing of hinted-handoff volumes==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	no 	no pages
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	no pages
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	no 	no pages
Process                                       	Was the incident status section actively updated during the incident?                                             	yes	
Process                                       	Was the public status page updated?                                                                               	no 	
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	10",2022-08-10,Server and Infrastructure Failures,mid,Degraded System Performance,
,"The issue was first detected by users of Chinese Wikipedia.  There was no automated monitoring.On investigation, there do not appear to be any parser tests or other test cases which exercise language conversion on the table of contents (phab:T295187) or which verify the correct operation of the WikidataPageBanner extension (phab:T295003).Rollback removed the table of contents from many articles on all wikis; this was also not detected by any monitoring.Rollback did cause spurious (unrelated to the table of contents issue) alerts, as discussed above: phab:T295079.","This incident exposed weaknesses in test coverage of the Table of Contents, and in the way that Parser Cache content interacts with our deployment and versioning systems.  Content stored in RESTBase has the potential for similar issues, as discussed below, but has slightly better purging and versioning systems to allow prevention and/or mitigation of version mismatch issues such as these.In addition, procedural weaknesses were exposed in flagging potentially ""risky"" patches, and in the forum used for rollback discussions.  A related issue is that, due to time zone skew, detecting and reacting to failures in Chinese Wikipedia (deployed late UTC time on Thursday) can easily push timelines past 5pm local time on a Friday for engineers involved in the response.  The community involved in the smaller group 1 projects, like Chinese Wikivoyage, would in theory have noticed both ToC problems a full day earlier, but those community members did not successfully relay the issue to WMF staff.  It may be advisable to move Chinese Wikipedia from group 2 to group 1 in order to accelerate detection and response to issues.","Technical changes:* Add test cases which exercise language conversion on the table of contents T299973
* Add test cases for WikidataPageBanner extension, esp for the table-of-contents replacement code (selenium tests?) T299974
* Create and document on wiki a test and deploy plan for changes to Parser Cache contents: (TODO: Phab ticket  #Sustainability (Incident Followup) )
** Patch which adds ""future compatibility"" (to handle ""future"" parser cache contents) should land first and roll out with the train, *before* any changes to parser cache contents are made.  This should have test cases verifying correct behavior during roll back (that is, correct behavior if ""parser cache contents from the future"" are encountered).  (These test cases were absent in this incident, since this split was not done.)
** A subsequent patch which *changes* parser cache contents to the ""future"" form can roll out in a separate train; this will make it more likely that this train can be safely rolled back if issues are found.  This should have test cases verifying correct behavior during roll forward (that is, correct behavior if ""parser cache contents from the past"" are encountered).  (These test cases were present in this incident, which is a ""what went well"".)
** Documentation for ParserOutput::getText() in particular should reference this plan to provide guidance around how best to make backwards compatible changes; it should note that such changes should be always be flagged as potentially risky to the SREs and have communicated a rollback plan.
** Make this plan relevant to DiscussionTools and other users of parser cache contents as well.
* Create and document on wiki a test and deploy plan for changes to RESTBase contents, including documenting user:ppchelko's ""five lines of code"" to allow for purge during rollback.  (TODO: Phab ticket  #Sustainability (Incident Followup) )
* Allow earlier visibility for issues involving language variants by some means, such as by moving zhwiki or srwiki from group2 to group1.  (TODO: Phab ticket  #Sustainability (Incident Followup))
* Enable pig latin variant on English Wikipedia beta cluster (T299975). This has two benefits:
** It allows easier testing of variant-related issues in beta, for example to validate a patch on master before cherry-picking it to production.
** It possibly also facilitates earlier visibility of issues involving language variants, although effectiveness requires someone to activity monitor the status of this wiki.Process changes  (TODO: Phab ticket (??) Add   #Sustainability (Incident Followup) )* Revise communication protocols based on the current expectations of communication medium of WMF employees. For example, if product engineers are required to be available on IRC, that should be communicated broadly. If that's not a requirement, we should perhaps use email/Phabricator as primary communication",2021-11-05,,,,
"We are not aware of all consumers of this stream.  No one noticed this change for over 3 months.  Root CauseThe developer (Andrew Otto) and reviewers did not catch the accidental change to extension.json that unregistered the EventBusHooks:onPageUndelete hook handler.Affected Datasets and ServicesThe main fallout is that WDQS and WCQS will have inconsistencies in their downstream datastores: any wiki pages that were undeleted during this time period will not be available in WDQS. There may be exceptions to this, the WDQS updater is supposed to detect inconsistencies (i.e. getting an edit on a deleted page) and apply some reconciliation but apparently this system did not work as expected here. Resolving the inconsistencies for WDQS will be achieved via full data-reload (something that was already in progress).There may be other affected services as well.  The event.mediawiki_page_undelete table in Hive will be empty for this time.  We also expose this stream publicly via stream.wikimedia.org, so if there are external consumers (Internet Archive?) they will also have missed these page undelete events.",,,"Add automated stream throughput alerting: T329070
* Review the “reconciliation” mechanism of the WDQS updater to understand why it was not able to recover these missing events after further edits on the affected entities and fix it: T329089 ==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	yes	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	no 	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	   	
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	no 	
Process                                       	Is there a phabricator task for the incident?                                                                     	no 	
Process                                       	Are the documented action items assigned?                                                                         	no 	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	no 	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2023-02-07,Code and Application Bugs,mid,Data Loss or Corruption,
"During a reimage operation, the cloudelastic Elasticsearch cluster lost a shard and went into red status, indicating data loss.Until the data was restored, search results were incomplete on Cloudelastic. Restoration from production snapshots, using the previously understood and documented process, failed consistently, requiring a different approach to be devised which is why restoration was delayed by a month. Restoration was completed on 12 July. Documentation:*https://phabricator.wikimedia.org/T309648#8072778",,,"Restore data to cloudelastic
*Document cloudelastic cluster (what is its purpose, who are the stakeholders, etc)
*Document restore process
*Review monitoring for cloudelastic
*Inform stakeholders of the current situationTODO: Add the #Sustainability (Incident Followup) and the #SRE-OnFIRE (Pending Review & Scorecard) Phabricator tag to these tasks.==Scorecard==Incident Engagement ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              		
People                                        	Were the people who responded prepared enough to respond effectively                                              		
People                                        	Were fewer than five people paged?                                                                                		
People                                        	Were pages routed to the correct sub-team(s)?                                                                     		
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.		
Process                                       	Was the incident status section actively updated during the incident?                                             		
Process                                       	Was the public status page updated?                                                                               		
Process                                       	Is there a phabricator task for the incident?                                                                     		
Process                                       	Are the documented action items assigned?                                                                         		
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               		
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.		
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         		
Tooling                                       	Did existing monitoring notify the initial responders?                                                            		
Tooling                                       	Were all engineering tools required available and in service?                                                     		
Tooling                                       	Was there a runbook for all known issues present?                                                                 		
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2022-06-01,Data Management and Retention,mid,Data Loss or Corruption,
mark>,Write how the issue was first detected.  Was automated monitoring first to detect it? Or a human reporting an error?Humans reported an error via this Phab task,,"Phab task for follow-up
** Elasticsearch: Alert on Downstream Errors
** Create alert for LVS if it is configured for unreachable back-end server IPs.==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	no 	
People                                        	Were the people who responded prepared enough to respond effectively                                              	no 	
People                                        	Were fewer than five people paged?                                                                                	no 	No paging happened
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	No paging happened
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	no 	No paging happened
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	no 	
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	no 	Search SRE have never done it
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	no 	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	no 	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2024-04-26,,,,
"services (citoid, cxserver) in eqiad had partial failures. In the case of citoid, results were not augmented enough, in the case of cxserver, translations were not returned.",Detection was by both by human as well as Icinga.,What weaknesses did we learn about and how can we address them?* Humans are the weakest link. The process went perfect in codfw and hence not everything was checked before applying it in eqiad.,"Fix the calico configuration https://gerrit.wikimedia.org/r/537121. 
* Monitor coreDNS. https://phabricator.wikimedia.org/T234545
* Monitor zotero indirectly via citoid https://phabricator.wikimedia.org/T234544",2019-09-16,API and Integration Failures,mid,API or Integration Failures,
On-wiki search for all wikis was delayed or unavailable for a subset of end users.,"Was automated monitoring first to detect it? Or a human reporting an error?Monitoring caught it, but not quickly enough for humans to prevent user-facing impact.Copy the relevant alerts that fired in this section.** PROBLEM alert - graphite1005/CirrusSearch codfw 95th percentile latency - more_like is CRITICAL (Grafana alert sent to IRC and Search Platform email list)Did the appropriate alert(s) fire? Was the alert volume manageable? Did they point to the problem with as much accuracy as possible?Yes to all questions.",,"Determine what Elasticsearch-related steps are needed prior to a datacenter switchover.
* Update documentation as mentioned in ""Links to relevant documentation"" section above.
* Review https://phabricator.wikimedia.org/T285347 (suggestions for switchover improvements) and decide whether to implement.
* phab:T347034 Update the RESTBase /related/{article} endpoint to make a GET request and not a POST in order to help having a CirrusSearch query cache warm in both DC when running multi-DC
* Review current shard balance for busy wikis, particularly enwiki_content. In my haste to mitigate, I (inflatador) did not check the shards of the highly-loaded host. Dcausse theorized that two enwiki shards may have been on the same host, which is extremely expensive, particularly when more_like queries are involved. That would suggest that the problem was worsened by the DC switchover, but not directly caused by it.==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	N/A	
People                                        	Were the people who responded prepared enough to respond effectively                                              	Y  	
People                                        	Were fewer than five people paged?                                                                                	Y  	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	Y  	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	Y  	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	N  	
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	N  	
Process                                       	Is there a phabricator task for the incident?                                                                     	Y  	
Process                                       	Are the documented action items assigned?                                                                         	N  	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	Y  	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	Y  	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	Y  	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	Y  	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	Y  	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	N  	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	10",2023-09-20,Performance and Load Issues,mid,Degraded System Performance,
"An upgrade to Kartotherian caused spurious Icinga alerts so was rolled back.  Rollback fails and the service goes down, due to non-robustness in the deployment configuration templates.","Icinga alerts for ""kartotherian endpoints health"" in #wikimedia-operations began to fire, for example:
 13:27 <+icinga-wm> PROBLEM - kartotherian endpoints health on maps2006 is CRITICAL: /{src}/{z}/{x}/{y}.{format} (Untitled test) is CRITICAL: Test Untitled test returned the 
                    unexpected status 301 (expecting: 200): /{src}/{z}/{x}/{y}@{scale}x.{format} (Untitled test) is CRITICAL: Test Untitled test returned the unexpected 
                    status 404 (expecting: 200): /{src}/info.json (Untitled test) is CRITICAL: Test Untitled test returned the unexpected status 404 (expectingUser claime correctly guessed that the alerts were related to awight's deployment and pinged them in IRC.We learned later that these alerts were spurious, caused by an automatically-generated monitoring job ().When rollback failed, we monitored full service failure through its dedicated dashboard, https://grafana.wikimedia.org/d/000000305/maps-performances.",A more robust or fully automated and containerized deployment for the maps service would have prevented an outage.,"Improve documentation for maps production deployment.
*  Fix Icinga monitoring for maps, 
* Make kartotherian configuration robust enough to deploy without the ""--env"" flag, 
* Improve documentation about how the OpenAPI specification is automatically wired into CI and monitoring, .
* Containerize the kartotherian service, ==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              		
People                                        	Were the people who responded prepared enough to respond effectively                                              		
People                                        	Were fewer than five people paged?                                                                                		
People                                        	Were pages routed to the correct sub-team(s)?                                                                     		
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.		
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        		
Process                                       	Was a public wikimediastatus.net entry created?                                                                   		
Process                                       	Is there a phabricator task for the incident?                                                                     		
Process                                       	Are the documented action items assigned?                                                                         		
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               		
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.		
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         		
Tooling                                       	Did existing monitoring notify the initial responders?                                                            		
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    		
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   		
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2023-01-30,Configuration and Deployment Errors,high,Service Downtime,
